"","Date","JPM"
"1","1/3/2006",29.873466
"2","1/4/2006",29.701059
"3","1/5/2006",29.791012
"4","1/6/2006",30.000916
"5","1/9/2006",30.488176
"6","1/10/2006",30.533171
"7","1/11/2006",30.510679
"8","1/12/2006",29.948437
"9","1/13/2006",29.925947
"10","1/17/2006",29.76852
"11","1/18/2006",29.446171
"12","1/19/2006",29.28125
"13","1/20/2006",28.524105
"14","1/23/2006",28.689024
"15","1/24/2006",28.569086
"16","1/25/2006",28.846455
"17","1/26/2006",29.678568
"18","1/27/2006",29.798508
"19","1/30/2006",29.873466
"20","1/31/2006",29.798508
"21","2/1/2006",29.895958
"22","2/2/2006",29.978418
"23","2/3/2006",29.633587
"24","2/6/2006",29.566118
"25","2/7/2006",29.431177
"26","2/8/2006",29.686058
"27","2/9/2006",29.813496
"28","2/10/2006",29.925947
"29","2/13/2006",29.813496
"30","2/14/2006",30.06089
"31","2/15/2006",30.225813
"32","2/16/2006",30.600636
"33","2/17/2006",30.570648
"34","2/21/2006",30.510679
"35","2/22/2006",31.042917
"36","2/23/2006",30.818039
"37","2/24/2006",31.230328
"38","2/27/2006",31.170362
"39","2/28/2006",30.840521
"40","3/1/2006",31.207853
"41","3/2/2006",31.230328
"42","3/3/2006",31.177853
"43","3/6/2006",31.057915
"44","3/7/2006",31.0954
"45","3/8/2006",31.18536
"46","3/9/2006",30.773046
"47","3/10/2006",30.833019
"48","3/13/2006",30.780552
"49","3/14/2006",31.020445
"50","3/15/2006",30.90049
"51","3/16/2006",30.97546
"52","3/17/2006",31.035416
"53","3/20/2006",31.072912
"54","3/21/2006",30.885494
"55","3/22/2006",31.522697
"56","3/23/2006",31.515192
"57","3/24/2006",31.560183
"58","3/27/2006",31.567675
"59","3/28/2006",31.155373
"60","3/29/2006",31.245329
"61","3/30/2006",31.132883
"62","3/31/2006",31.215342
"63","4/3/2006",31.432753
"64","4/4/2006",31.946663
"65","4/5/2006",32.150738
"66","4/6/2006",31.961781
"67","4/7/2006",31.515875
"68","4/10/2006",31.651918
"69","4/11/2006",31.447851
"70","4/12/2006",31.66703
"71","4/13/2006",31.8862
"72","4/17/2006",31.742613
"73","4/18/2006",32.196079
"74","4/19/2006",32.211185
"75","4/20/2006",32.196079
"76","4/21/2006",32.120499
"77","4/24/2006",32.256538
"78","4/25/2006",31.908888
"79","4/26/2006",32.241413
"80","4/27/2006",33.216366
"81","4/28/2006",34.297127
"82","5/1/2006",33.84367
"83","5/2/2006",34.387829
"84","5/3/2006",34.35759
"85","5/4/2006",34.531422
"86","5/5/2006",35.256962
"87","5/8/2006",34.84129
"88","5/9/2006",34.78083
"89","5/10/2006",34.705254
"90","5/11/2006",34.123295
"91","5/12/2006",33.49601
"92","5/15/2006",33.662281
"93","5/16/2006",33.49601
"94","5/17/2006",32.687321
"95","5/18/2006",32.30188
"96","5/19/2006",32.309441
"97","5/22/2006",32.226295
"98","5/23/2006",31.87109
"99","5/24/2006",31.85598
"100","5/25/2006",32.385025
"101","5/26/2006",32.672215
"102","5/30/2006",32.075153
"103","5/31/2006",32.226295
"104","6/1/2006",32.936737
"105","6/2/2006",33.110558
"106","6/5/2006",32.475712
"107","6/6/2006",32.0298
"108","6/7/2006",31.931545
"109","6/8/2006",32.007122
"110","6/9/2006",31.818188
"111","6/12/2006",31.440294
"112","6/13/2006",30.631617
"113","6/14/2006",30.208387
"114","6/15/2006",30.684525
"115","6/16/2006",30.35198
"116","6/19/2006",30.193274
"117","6/20/2006",30.601389
"118","6/21/2006",31.145538
"119","6/22/2006",31.039734
"120","6/23/2006",30.888577
"121","6/26/2006",31.364721
"122","6/27/2006",30.86591
"123","6/28/2006",31.190897
"124","6/29/2006",32.256538
"125","6/30/2006",31.742613
"126","7/3/2006",32.664566
"127","7/5/2006",32.314064
"128","7/6/2006",32.34454
"129","7/7/2006",32.314064
"130","7/10/2006",32.443592
"131","7/11/2006",32.664566
"132","7/12/2006",32.192154
"133","7/13/2006",31.536871
"134","7/14/2006",31.155903
"135","7/17/2006",31.034008
"136","7/18/2006",31.018764
"137","7/19/2006",32.801701
"138","7/20/2006",32.74836
"139","7/21/2006",32.877907
"140","7/24/2006",33.677944
"141","7/25/2006",34.005596
"142","7/26/2006",34.020824
"143","7/27/2006",34.05891
"144","7/28/2006",34.653233
"145","7/31/2006",34.759914
"146","8/1/2006",34.676094
"147","8/2/2006",34.660851
"148","8/3/2006",34.790386
"149","8/4/2006",34.378937
"150","8/7/2006",34.493229
"151","8/8/2006",34.279888
"152","8/9/2006",33.792229
"153","8/10/2006",33.563652
"154","8/11/2006",33.472233
"155","8/14/2006",33.44175
"156","8/15/2006",34.317978
"157","8/16/2006",34.645618
"158","8/17/2006",34.637997
"159","8/18/2006",34.828484
"160","8/21/2006",34.637997
"161","8/22/2006",34.55418
"162","8/23/2006",34.683712
"163","8/24/2006",34.805622
"164","8/25/2006",34.683712
"165","8/28/2006",35.064686
"166","8/29/2006",35.026592
"167","8/30/2006",34.843716
"168","8/31/2006",34.790386
"169","9/1/2006",34.843716
"170","9/5/2006",34.89706
"171","9/6/2006",34.958019
"172","9/7/2006",34.439884
"173","9/8/2006",34.485611
"174","9/11/2006",34.58466
"175","9/12/2006",35.057072
